INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_IP;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_OT
;problem_10_50_1_1_5.txt;50;159;0;50;159;0;50;159;0;50;159;0;50;159;0;50;159;7
;problem_10_50_1_2_5.txt;61;214;0;61;214;0;61;214;0;61;214;0;61;214;0;61;214;7
;problem_10_50_1_3_5.txt;100;184;0;121;199;0;121;199;0;121;199;0;121;199;0;121;199;11
;problem_10_50_1_4_5.txt;221;246;0;221;246;0;221;246;0;221;246;0;221;246;0;221;246;8
;problem_10_50_1_5_5.txt;242;213;0;242;213;0;242;213;0;242;213;0;242;213;0;242;213;6
;problem_10_50_2_1_5.txt;48;63;1;50;64;0;50;64;0;50;64;0;50;64;0;50;64;9
;problem_10_50_2_2_5.txt;30;45;0;61;79;0;61;79;0;61;79;0;61;79;0;61;79;11
;problem_10_50_2_3_5.txt;102;113;0;122;130;0;122;130;0;122;130;0;122;130;0;122;130;11
;problem_10_50_2_4_5.txt;185;195;2;228;233;0;226;233;0;228;233;0;228;233;0;226;233;11
;problem_10_50_2_5_5.txt;222;226;0;237;238;0;240;238;0;237;238;0;237;238;0;240;238;16
;problem_10_50_3_1_5.txt;43;73;1;49;79;0;49;79;0;49;79;0;49;79;0;49;79;13
;problem_10_50_3_2_5.txt;66;126;0;75;135;0;75;135;0;75;135;0;75;135;0;75;135;12
;problem_10_50_3_3_5.txt;112;182;0;112;182;0;112;182;0;112;182;0;112;182;0;112;182;7
;problem_10_50_3_4_5.txt;213;283;0;238;308;0;238;308;0;238;308;0;238;308;0;238;308;16
;problem_10_50_3_5_5.txt;197;287;0;200;290;0;200;290;0;200;290;0;200;290;0;200;290;9
;problem_10_50_4_1_5.txt;35;35;0;51;51;0;51;51;0;51;51;0;51;51;0;51;51;9
;problem_10_50_4_2_5.txt;50;50;1;79;79;0;79;79;0;79;79;0;79;79;0;79;79;11
;problem_10_50_4_3_5.txt;92;92;0;113;113;0;113;113;0;113;113;0;113;113;0;113;113;6
;problem_10_50_4_4_5.txt;229;229;1;238;238;0;238;238;0;238;238;0;238;238;0;238;238;12
;problem_10_50_4_5_5.txt;168;168;0;204;204;0;204;204;0;204;204;0;204;204;0;204;204;5
;problem_10_100_1_1_5.txt;86;198;0;86;198;0;86;198;0;86;198;0;86;198;0;86;198;9
;problem_10_100_1_2_5.txt;145;371;0;145;371;0;145;371;0;145;371;0;145;371;0;145;371;7
;problem_10_100_1_3_5.txt;321;323;1;342;324;0;342;324;0;342;324;0;342;324;0;342;324;11
;problem_10_100_1_4_5.txt;462;507;1;462;507;0;462;507;0;462;507;0;462;507;0;462;507;6
;problem_10_100_1_5_5.txt;433;481;0;433;481;0;433;481;0;433;481;0;433;481;0;433;481;7
;problem_10_100_2_1_5.txt;100;117;0;100;117;0;100;117;0;100;117;0;100;117;0;100;117;6
;problem_10_100_2_2_5.txt;82;94;0;146;159;0;146;159;0;146;159;0;146;159;0;146;159;8
;problem_10_100_2_3_5.txt;273;294;0;347;366;0;347;366;0;347;366;0;347;366;0;347;366;10
;problem_10_100_2_4_5.txt;441;481;0;459;497;0;459;497;0;459;497;0;459;497;0;459;497;11
